"Source:","C:\Users\jonno\Dropbox\Projects\Business_Card\business_card_board\business_card_board.sch"
"Date:","22/06/2018 20:15:59"
"Tool:","Eeschema 4.0.7"
"Component Count:","24"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"BT1","Battery_Cell","","","",""
"C1","0.1u","Capacitors_SMD:C_0805","","",""
"D1","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D2","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D3","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D4","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D5","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D6","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D7","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D8","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D9","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"D10","LED","business_card_footprints:LED_1206_NO_REFDES","","",""
"J1","PICKit3_Programmer","business_card_footprints:Pin_Header_Straight_1x06_Pitch2.54mm_SMD","","",""
"R1","10k","Resistors_SMD:R_0805","","",""
"R2","10k","Resistors_SMD:R_0805","","",""
"R3","65R","Resistors_SMD:R_0805","","",""
"R4","65R","Resistors_SMD:R_0805","","",""
"R5","65R","Resistors_SMD:R_0805","","",""
"R6","65R","Resistors_SMD:R_0805","","",""
"R7","65R","Resistors_SMD:R_0805","","",""
"R8","65R","Resistors_SMD:R_0805","","",""
"SW1","SW_Push","business_card_footprints:KSEK43GLFS_NoREFDES","","",""
"SW2","SW_Push","business_card_footprints:KSEK43GLFS_NoREFDES","","",""
"U1","PIC12F1822","SMD_Packages:SOIC-8-N","","",""
